moteid,lat,lon
1,51.1112,17.0283
2,51.1088,17.0551
3,51.0994,17.0407
4,51.1231,17.0238
5,51.0952,17.0334
6,51.1187,17.0489
7,51.1143,17.0622
8,51.1096,17.0147
9,51.1025,17.0243
10,51.1168,17.0382
11,51.1125,17.0517
12,51.1054,17.0603
13,51.1214,17.0327
14,51.0981,17.0449
15,51.1179,17.0152
16,51.1136,17.0274
17,51.1081,17.0431
18,51.1013,17.0362
19,51.1252,17.0418
20,51.0974,17.0559
21,51.1198,17.0571
22,51.1109,17.0216
23,51.1057,17.0484
24,51.1161,17.0299
25,51.1004,17.0187
26,51.1183,17.0662
27,51.1148,17.0356
28,51.0999,17.0305
29,51.1224,17.0529
30,51.1084,17.0139
31,51.1207,17.0463
32,51.0959,17.0386
33,51.1248,17.0273
34,51.1032,17.0578
35,51.1171,17.0218
36,51.1103,17.0635
37,51.0988,17.0492
38,51.1259,17.0346
39,51.1128,17.0171
40,51.1062,17.0329
41,51.1193,17.0607
42,51.1018,17.0271
43,51.1236,17.0502
44,51.0971,17.0421
45,51.1154,17.0258
46,51.1045,17.0639
47,51.1201,17.0179
48,51.1116,17.0554
49,51.1039,17.0204
50,51.1180,17.0437
51,51.1091,17.0301
52,51.1217,17.0365
53,51.1022,17.0533
54,51.1159,17.0668
